name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,available
Clean & quiet apt home by the park,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,19/10/2018,0.21,6,365
Skylit Midtown Castle,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,21/05/2019,0.38,2,355
THE VILLAGE OF HARLEM....NEW YORK !,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,,,1,365
Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,05/07/2019,4.64,1,194
Entire Apt: Spacious Studio/Loft by central park,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,19/11/2018,0.1,1,0
Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,22/06/2019,0.59,1,129
BlissArtsSpace!,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,05/10/2017,0.4,1,0
Large Furnished Room Near B'way,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,24/06/2019,3.47,1,220
Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,21/07/2017,0.99,1,0
Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,09/06/2019,1.33,4,188
Beautiful 1br on Upper West Side,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,22/06/2019,0.43,1,6
Central Manhattan/near Broadway,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,23/06/2019,1.5,1,39
"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,24/06/2019,1.34,3,314
Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,05/07/2019,0.91,1,333
West Village Nest - Superhost,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,31/10/2018,0.22,1,0
Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,29/06/2019,1.2,1,46
Perfect for Your Parents + Garden,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,28/06/2019,1.72,1,321
Chelsea Perfect,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,01/07/2019,2.12,1,12
Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,22/06/2019,4.44,1,21
Huge 2 BR Upper East  Cental Park,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,,,2,249
Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,28/12/2011,0.07,1,0
CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,01/07/2019,1.09,6,347
CBG Helps Haiti Room#2.5,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,01/01/2019,0.37,6,364
CBG Helps Haiti Rm #2,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,02/07/2019,0.61,6,304
"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,19/06/2019,0.73,2,233
Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,23/06/2019,1.37,2,85
Magnifique Suite au N de Manhattan - vue Cloitres,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,,,1,0
Midtown Pied-a-terre,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,13/08/2017,0.49,1,75
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,15/06/2019,1.11,3,311
Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,19/04/2019,0.24,1,67
front room/double bed,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,01/06/2019,2.04,3,355
Spacious 1 bedroom in luxe building,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,14/06/2019,1.42,1,255
Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,15/06/2019,1.65,3,284
back room/bunk beds,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,01/07/2019,2.37,3,359
Large B&B Style rooms,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,12/05/2019,0.66,2,269
"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,21/06/2019,1.41,3,340
Clean and Quiet in Brooklyn,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,,,1,365
Cute apt in artist's home,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,22/06/2019,1.96,2,22
Country space in the city,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,,,1,365
LowerEastSide apt share shortterm 1,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,05/07/2019,1.81,4,188
ENJOY Downtown NYC!,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,21/06/2019,2.08,2,96
Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,27/05/2019,0.39,1,345
1bdr w private bath. in lofty apt,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,30/09/2018,0.23,1,311
West Side Retreat,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,16/06/2019,0.69,1,273
BEST BET IN HARLEM,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,13/06/2019,0.84,1,309
Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,05/06/2019,0.49,1,95
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Long Island City,40.74771,-73.9474,Private room,130,3,248,01/07/2019,2.25,1,215
Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Entire home/apt,110,7,61,25/05/2019,0.52,1,265
bright and stylish duplex,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,115,3,11,01/01/2017,0.1,1,0
Fort Greene brownstone,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Private room,80,3,135,17/06/2019,1.16,2,192
Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Private room,80,1,112,16/06/2019,1.01,3,251
Cozy 1BD on Central Park West in New York City,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Entire home/apt,151,2,73,07/07/2019,0.63,1,302
* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Williamsburg,40.7042,-73.9356,Entire home/apt,228,3,82,17/05/2019,0.7,1,140
Greenpoint Place...Has It All!,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Entire home/apt,144,2,328,29/06/2019,2.82,1,234
Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Entire home/apt,200,7,19,25/03/2019,0.22,1,257
Williamsburg 1 bedroom Apartment,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,105,22/06/2019,0.9,1,30
"Great Location, Manhattan Bedroom!",Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,18/05/2019,0.17,1,301
Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,289,09/06/2019,2.49,2,294
Room in Greenpoint Loft w/ Roof,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,04/06/2019,1.19,3,320
**Bright Nolita Apt w Doorman/Elevators/Gym**,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,29/06/2019,0.3,1,154
"Very, very cozy place",Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,42,30/06/2019,0.38,1,263
Sunny & Spacious Chelsea Apartment,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,03/11/2018,0.12,1,180
2 bedroom - Upper East Side-great for kids,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,30/03/2019,0.57,2,231
Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,26/01/2019,1.33,2,297
Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,30/09/2017,0.23,2,292
Your Heaven in Hells Kitchen,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,191,16/05/2019,1.65,1,191
Light-filled 2B duplex in the heart of Park Slope!,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,24/09/2017,0.16,1,0
"Sunny, Modern room in East Village!",Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,338,01/07/2019,4.72,2,72
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,275,1,148,23/06/2019,1.4,1,362
Large Room in Amazing East Village Apt,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,106,21/06/2019,1.26,2,336
SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,190,23/06/2019,1.64,1,215
Lovely EV Artist's Home,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,9,49,14/05/2018,0.43,1,116
Cool Room in Hell's Kitchen,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,7,23,01/06/2019,0.43,1,88
"HARLEM, NEW YORK WELCOMES YOU!!",Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,18/06/2019,1.6,2,336
BLUE TRIM GUEST HOUSE,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,105,26/06/2019,0.92,1,304
Charming East Village One Bedroom Flat,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,02/01/2019,0.2,1,224
Manhattan Room,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,06/07/2019,1.5,1,322
Little King of Queens,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,31/05/2019,0.22,1,324
